,ENSG,Symbol
0,ENSG00000000005,TNMD
1,ENSG00000000938,FGR
2,ENSG00000000971,CFH
3,ENSG00000001626,CFTR
4,ENSG00000002587,HS3ST1
5,ENSG00000002726,AOC1
6,ENSG00000002746,HECW1
7,ENSG00000002933,TMEM176A
8,ENSG00000003137,CYP26B1
9,ENSG00000003436,TFPI
10,ENSG00000003989,SLC7A2
11,ENSG00000004399,PLXND1
12,ENSG00000004468,CD38
13,ENSG00000004776,HSPB6
14,ENSG00000004799,PDK4
15,ENSG00000004939,SLC4A1
16,ENSG00000005001,PRSS22
17,ENSG00000005102,MEOX1
18,ENSG00000005108,THSD7A
19,ENSG00000005243,COPZ2
20,ENSG00000005513,SOX8
21,ENSG00000006016,CRLF1
22,ENSG00000006062,MAP3K14
23,ENSG00000006074,CCL18
24,ENSG00000006075,CCL3
25,ENSG00000006118,TMEM132A
26,ENSG00000006128,TAC1
27,ENSG00000006210,CX3CL1
28,ENSG00000006327,TNFRSF12A
29,ENSG00000006606,CCL26
30,ENSG00000006625,GGCT
31,ENSG00000007062,PROM1
32,ENSG00000007171,NOS2
33,ENSG00000007264,MATK
34,ENSG00000007306,CEACAM7
35,ENSG00000007312,CD79B
36,ENSG00000007908,SELE
37,ENSG00000007933,FMO3
38,ENSG00000008196,TFAP2B
39,ENSG00000008294,SPAG9
40,ENSG00000008394,MGST1
41,ENSG00000008517,IL32
42,ENSG00000010017,RANBP9
43,ENSG00000010310,GIPR
44,ENSG00000010319,SEMA3G
45,ENSG00000010327,STAB1
46,ENSG00000010438,PRSS3
47,ENSG00000010610,CD4
48,ENSG00000010932,FMO1
49,ENSG00000011028,MRC2
50,ENSG00000011198,ABHD5
51,ENSG00000011422,PLAUR
52,ENSG00000011426,ANLN
53,ENSG00000011465,DCN
54,ENSG00000011600,TYROBP
55,ENSG00000012124,CD22
56,ENSG00000012223,LTF
57,ENSG00000013297,CLDN11
58,ENSG00000013374,NUB1
59,ENSG00000013588,GPRC5A
60,ENSG00000014257,ACP3
61,ENSG00000015413,DPEP1
62,ENSG00000015475,BID
63,ENSG00000017427,IGF1
64,ENSG00000018280,SLC11A1
65,ENSG00000018625,ATP1A2
66,ENSG00000019102,VSIG2
67,ENSG00000019169,MARCO
68,ENSG00000019549,SNAI2
69,ENSG00000019582,CD74
70,ENSG00000019991,HGF
71,ENSG00000019995,ZRANB1
72,ENSG00000020633,RUNX3
73,ENSG00000021355,SERPINB1
74,ENSG00000022267,FHL1
75,ENSG00000023287,RB1CC1
76,ENSG00000023445,BIRC3
77,ENSG00000025434,NR1H3
78,ENSG00000026025,VIM
79,ENSG00000026751,SLAMF7
80,ENSG00000028137,TNFRSF1B
81,ENSG00000028277,POU2F2
82,ENSG00000029153,BMAL2
83,ENSG00000034152,MAP2K3
84,ENSG00000034713,GABARAPL2
85,ENSG00000035862,TIMP2
86,ENSG00000036448,MYOM2
87,ENSG00000036530,CYP46A1
88,ENSG00000036672,USP2
89,ENSG00000037280,FLT4
90,ENSG00000038427,VCAN
91,ENSG00000038945,MSR1
92,ENSG00000039560,RAI14
93,ENSG00000041515,MYO16
94,ENSG00000041982,TNC
95,ENSG00000044012,GUCA2B
96,ENSG00000044524,EPHA3
97,ENSG00000044574,HSPA5
98,ENSG00000046604,DSG2
99,ENSG00000046653,GPM6B
100,ENSG00000046889,PREX2
101,ENSG00000047365,ARAP2
102,ENSG00000047457,CP
103,ENSG00000048052,HDAC9
104,ENSG00000048462,TNFRSF17
105,ENSG00000049247,UTS2
106,ENSG00000049249,TNFRSF9
107,ENSG00000049283,EPN3
108,ENSG00000049323,LTBP1
109,ENSG00000049449,RCN1
110,ENSG00000049540,ELN
111,ENSG00000049656,CLPTM1L
112,ENSG00000049759,NEDD4L
113,ENSG00000049768,FOXP3
114,ENSG00000050165,DKK3
115,ENSG00000050393,MCUR1
116,ENSG00000050628,PTGER3
117,ENSG00000050730,TNIP3
118,ENSG00000051108,HERPUD1
119,ENSG00000052126,PLEKHA5
120,ENSG00000052344,PRSS8
121,ENSG00000052795,FNIP2
122,ENSG00000052802,MSMO1
123,ENSG00000054219,LY75
124,ENSG00000054277,OPN3
125,ENSG00000054356,PTPRN
126,ENSG00000054523,KIF1B
127,ENSG00000054598,FOXC1
