batch,GSM,is_nan_cluster,GSM_cell_count,nan_cells
249793,7964411,0.803613054,1716,1379
249793,7964414,0.707851734,2509,1776
249793,7964412,0.618453456,6091,3767
249793,7964417,0.609964623,3392,2069
249793,7964419,0.607235142,6192,3760
249793,7964415,0.574285031,12553,7209
249793,7964416,0.550954558,7438,4098
220116,6840123,0.550836551,1554,856
249793,7964418,0.525737174,11734,6169
175990,5352393,0.525651808,3567,1875
220116,6840124,0.5,1064,532
249793,7964410,0.479608483,6130,2940
220116,6840119,0.450160772,622,280
220116,6840122,0.423401091,2017,854
220116,6840121,0.371936275,1632,607
175990,5352394,0.35291866,5225,1844
220116,6840117,0.291058736,2673,778
249622,7951925,0.277235907,6049,1677
249793,7964413,0.262372881,1475,387
155850,4712972,0.20927623,5347,1119
249622,7951927,0.189326178,6708,1270
220116,6840120,0.172672673,666,115
155850,4712971,0.159131712,6127,975
249622,7951932,0.150320543,10451,1571
249622,7951928,0.143393393,1332,190
175990,5352392,0.133131619,5949,792
154775,4679499,0.129088785,1712,221
249621,7951918,0.115989928,6354,737
249622,7951931,0.091139883,3939,359
249622,7951930,0.082910442,13991,1160
220116,6840118,0.068261086,2007,137
249622,7951929,0.067207113,3824,257
154775,4679495,0.063876652,908,58
249621,7951916,0.049027553,4936,242
249622,7951926,0.038924339,10970,427
154775,4679497,0.03823178,837,31
154775,4679493,0.036499378,4822,176
249621,7951917,0.030345472,4284,130
155850,7754889,0.030278884,11295,342
0,0,0.018392013,5709,105
154775,4679496,0.014851485,808,12
154775,4679500,0.011308247,5129,58
154775,4679492,0.011085285,5593,62
154775,4679494,0.008321775,1442,12
154775,4679498,0.005597964,1965,11
155850,7754890,0.003593822,13078,47
